Category,Message
ham,send me yettys number pls
ham,happy birthday to youdearwith lots of loverakhesh nri
spam,dont b floppy b snappy  happy only gay chat service with photo upload call 08718730666 10pmin 2 stop our texts call 08712460324
spam,this is the 2nd time we have tried to contact u u have won the 1450 prize to claim just call 09053750005 b4 310303 tcsstop sms 08718725756 140ppm
ham,awesome that gonna be soon or later tonight
ham,ive been searching for the right words to thank you for this breather i promise i wont take your help for granted and will fulfil my promise you have been wonderful and a blessing at all times
ham,you getting back any time soon
ham,jane babes not goin 2 wrk feel ill after lst nite foned in already cover 4 me chuck
ham,yes they replied my mail im going to the management office later plus will in to bank later alsoor on wednesday
ham,thanx 4 e brownie its v nice
spam,this is the 2nd time we have tried to contact u u have won the 400 prize 2 claim is easy just call 087104711148 now only 10p per minute btnationalrate
ham,sent me ur email id soon
ham,k if u bored up just come to my home
ham,sir waiting for your letter
ham,yo we are watching a movie on netflix
ham,oh k  i will come tomorrow
ham,alright babe
ham,first answer my question
ham,would me smoking you out help us work through this difficult time
ham,save yourself the stress if the person has a dorm account just send your account details and the money will be sent to you
spam,someone u know has asked our dating service 2 contact you cant guess who call 09058095107 now all will be revealed pobox 7 s3xy 150p 
ham,why she wants to talk to me
ham,i will once i get home
ham,happy new year to u too
ham,we made it eta at taunton is 1230 as planned hope thats still okday good to see you xx
ham,ive got some salt you can rub it in my open wounds if you like
ham,then any special there
spam,congratulations ur awarded 500 of cd vouchers or 125gift guaranteed  free entry 2 100 wkly draw txt music to 87066 tncs wwwldewcom1win150ppmx3age16
ham,hi hope u get this txtjourney hasnt been gdnow about 50 mins late i think
ham,haha mayb ure rite u know me well da feeling of being liked by someone is gd lor u faster go find one then all gals in our group attached liao
ham,u sick still can go shopping
ham,jolly good by the way  will give u tickets for sat eve 730 speak before then x
ham,kkwhere are youhow did you performed
ham,sorry sir i will call you tomorrow  senthilhsbc
ham,chk in ur belovd ms dict
ham,yeah confirmed for you staying at  that weekend
ham,hi chikku send some nice msgs
ham,pls she needs to dat slowly or she will vomit more
ham,aiyo her lesson so early im still sleepin haha okie u go home liao den confirm w me lor
spam,you have won a guaranteed 1000 cash or a 2000 prize to claim yr prize call our customer service representative on 08714712394 between 10am7pm
ham,ive reached sch already
ham,aight lemme know whats up
ham,spending new years with my brother and his family lets plan to meet next week are you ready to be spoiled 
ham,come round its  
ham,great comedycant stop laughing da
ham,yar but they say got some error
ham,pandy joined 4w technologies todayhe got job
ham,yo carlos a few friends are already asking me about you you working at all this weekend
ham,looks like you found something to do other than smoke great job
ham, was a nice day and impressively i was sensible went home early and now feel fine or am i just boring whens yours i cant remember
ham, hows things just a quick question
ham,wen ur lovable bcums angry wid u dnt take it seriously coz being angry is d most childish n true way of showing deep affection care n luv kettoda manda have nice day da
ham,hi happy birthday hi hi hi hi hi hi hi
ham,then ur physics get a
ham,in work now going have in few min
ham,it has issues right now ill fix for her by tomorrow
ham,lmao ok i wont be needing u to do my hair anymore
ham,as i entered my cabin my pa said  happy bday boss  i felt special she askd me 4 lunch after lunch she invited me to her apartment we went there
ham, go home liao ask dad to pick me up at 6
ham,ill see if i can swing by in a bit got some things to take care of here firsg
ham,ahhh work i vaguely remember that what does it feel like lol
ham,wat makes u thk ill fall down but actually i thk im quite prone 2 falls lucky my dad at home i ask him come n fetch me already
ham,u calling me right call my hand phone
ham,joys father is john then john is the  of joys father if u ans ths you hav  ltgt  iq tis s ias question try to answer
ham,why are u up so early
ham,hello my love what are you doing did you get to that interview today are you you happy are you being a good boy do you think of meare you missing me 
ham,it just seems like weird timing that the night that all you and g want is for me to come smoke is the same day as when a shitstorm is attributed to me always coming over and making everyone smoke
ham,y lei
spam,urgent call 09066612661 from landline your complementary 4 tenerife holiday or 10000 cash await collection sae tcs po box 3 wa14 2px 150ppm 18 sender hol offer
ham,oh really did you make it on air whats your talent
spam,moby pub quizwin a 100 high street prize if u know who the new duchess of cornwall will be txt her first name to 82277unsub stop 150 008704050406 sp
ham,even my brother is not like to speak with me they treat me like aids patent
ham,so wats ur opinion abt him and how abt is character
ham,oh ki think most of wi and nz players unsold
ham,messagesome text missing sendername missing number missing sentdate missing missing u a lot thats y everything is missing sent via fullonsmscom
ham,wake me up at  ltgt  am morning
spam,rct thnq adrian for u text rgds vatian
ham,i hope you thats the result of being consistently intelligent and kind start asking him about practicum links and keep your ears open and all the best ttyl
ham,r u sure theyll understand that wine  good idea just had a slurp
ham,yes princess toledo
ham,nothing can
ham,i dont think i can get away for a trek that long with family in town sorry
ham,can you tell shola to please go to college of medicine and visit the academic department tell the academic secretary what the current situation is and ask if she can transfer there she should ask someone to check sagamu for the same thing and lautech its vital she completes her medical education in nigeria its less expensive much less expensive unless she will be getting citizen rates in new zealand
ham,mine here like all fr china then so noisy
ham,hi im always online on yahoo and would like to chat with you someday
ham,you can jot down things you want to remember later
ham,k must book a not huh so going for yoga basic on sunday
ham,glad it went well  come over at 11 then well have plenty of time before claire goes to work
ham,then she buying today  no need to c meh
ham,he didnt see his shadow we get an early spring yay
ham,i am in escape theatre now  going to watch kavalan in a few minutes
ham,i have no idea where you are
ham,sorryin meeting ill call later
ham,had the money issue weigh me down but thanks to you i can breathe easier now ill make sure you dont regret it thanks
ham,yeah do dont stand to close tho youll catch something
ham,nope since ayo travelled he has forgotten his guy
ham,oh mr sheffield you wanna play that game okay youre the boss and im the nanny you give me a raise and ill give you one
ham, said kiss kiss i cant do the sound effects he is a gorgeous man isnt he kind of person who needs a smile to brighten his day 
ham,okay but i thought you were the expert
ham,never try alone to take the weight of a tear that comes out of ur heart and falls through ur eyes always remember a stupid friend is here to share bslvyl
ham,hi wk been ok  on hols now yes on for a bit of a run forgot that i have hairdressers appointment at four so need to get home n shower beforehand does that cause prob for uham
ham,jus chillaxin what up
spam,someone has conacted our dating service and entered your phone because they fancy youto find out who it is call from landline 09111030116 pobox12n146tf15
ham,ugh just got outta class
ham,ok
ham,oh yes ive just been a little under the weather so ive kind of been coccooning at home
spam,urgent your mobile number has been awarded with a 2000 prize guaranteed call 09061790121 from land line claim 3030 valid 12hrs only 150ppm
ham,on hen night going with a swing
ham,ill text now all creepy like so he wont think that we forgot
ham,im already back home so no probably not
ham,jus finish my lunch on my way home lor i tot u dun wan 2 stay in sch today
ham,naughty little thought its better to flirt flirt n flirt rather than loving someone n gettin hurt hurt n hurt gud nyt
ham,today is song dedicated day which song will u dedicate for me send this to all ur valuable frnds but first rply me
ham,hey you got any mail
ham,no i dont have cancer moms making a big deal out of a regular checkup aka pap smear
ham,u too
ham,will it help if we propose going back again tomorrow
ham,carlos says hell be at mu in  ltgt  minutes
ham,hi test on  ltgt rd 
ham,what happen dear tell me
ham,wat makes some people dearer is not just de happiness dat u feel when u meet them but de pain u feel when u miss dem
ham,yo theres no class tmrw right
ham,s daal r above  ltgt
ham,hi di is yijue were meeting at 7 pm at esaplanade tonight
spam,we tried to call you re your reply to our sms for a video mobile 750 mins unlimited text  free camcorder reply of call 08000930705 now
ham,no got new job at bar in airport on satsgettin 447per hour but means no lie in keep in touch
spam,had your mobile 11mths  update for free to oranges latest colour camera mobiles  unlimited weekend calls call mobile upd8 on freefone 08000839402 or 2stoptxt
ham,come back to tampa ffffuuuuuuu
ham,i like dis sweater fr mango but no more my size already so irritating
ham,yeah dont go to bed ill be back before midnight
ham,sorry ive not gone to that place ill do so tomorrow really sorry
spam,december only had your mobile 11mths you are entitled to update to the latest colour camera mobile for free call the mobile update vco free on 08002986906 
ham,i wud never mind if u dont miss me or if u dont need me but u wil really hurt me wen u need me amp u dont tell me take care
ham,yep then is fine 730 or 830 for ice age
ham,rajipls do me a favour pls convey my birthday wishes to nimya pls today is her birthday
spam,bored housewives chat n date now 08717507711 btnational rate 10pmin only from landlines
ham,hiya hows it going in sunny africa hope u r avin a good time give that big old silver back a big kiss from me
spam,urgent we are trying to contact u todays draw shows that you have won a 800 prize guaranteed call 09050001295 from land line claim a21 valid 12hrs only
ham,fuck babe i miss you sooooo much  i wish you were here to sleep with me  my bed is so lonely  i go now to sleep  to dream of you my love 
ham,an amazing quote  sometimes in life its difficult to decide whats wrong a lie that brings a smile or the truth that brings a tear
ham,wot u up 2 thout u were gonna call me txt bak luv k
ham,u say leh of course nothing happen lar not say v romantic jus a bit only lor i thk e nite scenery not so nice leh
ham,we have sent jd for customer service cum accounts executive to ur mail id for details contact us
ham,we confirm eating at esplanade
ham,i actually did for the first time in a while i went to bed not too long after i spoke with you woke up at 7 how was your night
ham,what year and how many miles
ham,not for possession especially not first offense
ham,thats cool princess i will cover your face in hot sticky cum 
ham,hope you are having a good week just checking in
ham,ohi asked for fun hahatake care 
ham,youd like that wouldnt you jerk
ham,its cool but tyler had to take off so were gonna buy for him and drop it off at his place later tonight our total order is a quarter you got enough
ham,tmr then  brin lar aiya later i come n c lar mayb  neva set properly  got da help sheet wif 
ham,how much is blackberry bold2 in nigeria
ham,you are a great role model you are giving so much and i really wish each day for a miracle but god as a reason for everything and i must say i wish i knew why but i dont ive looked up to you since i was young and i still do have a great day
ham,nite
ham,me fineabsolutly fine
ham,good afternoon my love how goes that day  i hope maybe you got some leads on a job i think of you boytoy and send you a passionate kiss from across the sea
ham,quite late lar ard 12 anyway i wun b drivin
ham,lol no u can trust me
ham,what u talking bout early morning its almost noon where your at
ham,pete can you please ring meive hardly gotany credit
ham,now u sound like manky scouse boy stevelike i is travelling on da bus homewot has u inmind 4 recreation dis eve
ham,its not the same here still looking for a job how much do tas earn there
ham,are you willing to go for apps class
ham,thanks ill keep that in mind
ham,let ur heart be ur compass ur mind ur map ur soul ur guide and u will never loose in worldgnun  sent via way2smscom
ham,you will be in the place of that man
ham,man this bus is so so so slow i think youre gonna get there before me
ham,hello my boytoy i made it home and my constant thought is of you my love i hope your having a nice visit but i cant wait till you come home to me kiss
ham,k do i need a login or anything
ham,what he said is not the matter my mind saying some other matter is there
ham,aiyah sorry lor i watch tv watch until i forgot 2 check my phone
ham,tell her i said eat shit
ham,k did you call me just now ah 
ham,it should take about  ltgt  min
ham,try neva mate
ham,dont search love let love find u thats why its called falling in love bcoz u dont force yourself u just fall and u know there is smeone to hold u bslvyl
ham,beautiful tomorrow never comes when it comes its already today in the hunt of beautiful tomorrow dont waste your wonderful today goodmorning
ham,i thought slide is enough
ham,how much are we getting
ham,yup how  noe leh
ham,excellent wish we were together right now
spam,07732584351  rodger burns  msg  we tried to call you re your reply to our sms for a free nokia mobile  free camcorder please call now 08000930705 for delivery tomorrow
ham,i think chennai well settled
spam,please call 08712402578 immediately as there is an urgent message waiting for you
ham,princess is your kitty shaved or natural
ham,nope i just forgot will show next week
spam,how come it takes so little time for a child who is afraid of the dark to become a teenager who wants to stay out all night
ham,wat makes some people dearer is not just de happiness dat u feel when u meet them but de pain u feel when u miss dem
ham,lmao wheres your fish memory when i need it
ham,wow  i love you sooo much you know  i can barely stand it  i wonder how your day goes and if you are well my love  i think of you and miss you
ham,otherwise had part time job natuition
ham,captain vijaykanth is doing comedy in captain tvhe is drunken 
ham,carlosll be here in a minute if you still need to buy
ham,haha awesome i might need to take you up on that what you doin tonight
ham,kkwhat are detail you want to transferacc no enough
ham,please da call me any mistake from my side sorry da pls da goto doctor
spam,loans for any purpose even if you have bad credit tenants welcome call noworriesloanscom on 08717111821
ham,miss ya need ya want ya love ya
ham,men like shorter ladies gaze up into his eyes
ham,good no swimsuit allowed 
spam,youll not rcv any more msgs from the chat svc for free hardcore services text go to 69988 if u get nothing u must age verify with yr network  try again
ham,u dont remember that old commercial
ham,its good well find a way
ham,is ur lecture over
ham,ok then i will come to ur home after half an hour
ham,audrie lousy autocorrect
ham,am going to take bath ill place the key in window
ham,dai what this da can i send my resume to this id
ham,he says hell give me a call when his friends got the money but that hes definitely buying before the end of the week
ham,ok lor
spam,your unique user id is 1172 for removal send stop to 87239 customer services 08708034412
ham,ok give me 5 minutes i think i see her btw youre my alibi you were cutting my hair the whole time
ham,sad story of a man  last week was my bday my wife didnt wish me my parents forgot n so did my kids  i went to work even my colleagues did not wish
ham,im not coming over do whatever you want
ham,sorry ill call later
ham,i dont quite know what to do i still cant get hold of anyone i cud pick you up bout 730pm and we can see if theyre in the pub
ham,how have your little darlings been so far this week need a coffee run tomocant believe its that time of week already 
ham,how abt making some of the pics bigger
spam,please call our customer service representative on freephone 0808 145 4742 between 9am11pm as you have won a guaranteed 1000 cash or 5000 prize
ham,i will come with karnan car please wait till 6pm will directly goto doctor
spam,urgent we are trying to contact u todays draw shows that you have won a 800 prize guaranteed call 09050003091 from land line claim c52 valid12hrs only
spam,1000s flirting now txt girl or bloke  ur name  age eg girl zoe 18 to 8007 to join and get chatting
spam,if you dont your prize will go to another customer tc at wwwtcbiz 18 150pmin polo ltd suite 373 london w1j 6hl please call back if busy 
ham,all boys made fun of me today ok i have no problem i just sent one message just for fun
ham,hicts employee how are you
ham,do you work all this week 
ham,okie
ham,sorry da thangamits my mistake
ham,i am thinking of going down to reg for pract lessons flung my advance haha wat time u going
ham,hope you are not scared
spam,for ur chance to win a 250 cash every wk txt action to 80608 tscs wwwmovietriviatv custcare 08712405022 1x150pwk
ham,can meh thgt some will clash really ah i dun mind i dun seen to have lost any weight gee
ham,good evening how are you
ham,the last thing i ever wanted to do was hurt you and i didnt think it would have youd laugh be embarassed delete the tag and keep going but as far as i knew it wasnt even up the fact that you even felt like i would do it to hurt you shows you really dont know me at all it was messy wednesday but it wasnt bad the problem i have with it is you have the time to clean it but you choose not to you skype you take pictures you sleep you want to go out i dont mind a few things here and there but when you dont make the bed when you throw laundry on top of it when i cant have a friend in the house because im embarassed that theres underwear and bras strewn on the bed pillows on the floor thats something else you used to be good about at least making the bed
ham,oh yeah clearly its my fault
spam,england v macedonia  dont miss the goalsteam news txt ur national team to 87077 eg england to 87077 trywales scotland 4txt120 poboxox36504w45wq 16
spam,win a year supply of cds 4 a store of ur choice worth 500  enter our 100 weekly draw txt music to 87066 tscs wwwldewcomsubs161win150ppmx3
ham,i wont get concentration dear you know you are my mind and everything 
ham,ok then ill let him noe later n ask him call u tmr
ham,kkany special today
ham,sorry ill call later
ham,sorry  i will be able to get to you see you in the morning
ham,as per your request maangalyam alaipayuthe has been set as your callertune for all callers press 9 to copy your friends callertune
ham,when the first strike is a red one the bird  antelope begin toplay in the fieldof selfindependence believe this  the flower of contention will growrandom
ham,im hungry buy smth home
ham,anytime lor
ham,im in a movie call me 4 wat
ham,am on a train back from northampton so im afraid not im staying skyving off today ho ho will be around wednesday though do you fancy the comedy club this week by the way
ham,kgive back my thanks
ham,dont forget who owns you and whos private property you are  and be my good boy always  passionate kiss
ham,ltgt of pple marry with their lovers becz they hav gud undrstndng dat avoids problems i sent dis 2 u u wil get gud news on friday by d person you like and tomorrow will be the best day of your life dont break this chain if you break you will suffer send this to  ltgt  frnds in ltgt  mins whn u read
ham,hi can i please get a  ltgt  dollar loan from you ill pay you back by mid february pls
ham,how are you i miss you
ham,good afternoon loverboy  how goes you day  any luck come your way i think of you sweetie and send my love across the sea to make you smile and happy
ham,in sch but neva mind u eat 1st lor
ham,no problem talk to you later
ham,some of them told accenture is not confirm is it true
ham,my supervisor find 4 me one lor i thk his students i havent ask her yet tell u aft i ask her
ham,hcl chennai requires freshers for voice processexcellent english neededsalary upto  ltgt call mssuman  ltgt  for telephonic interview via indyarockscom
ham,good evening sir al salam wahleykkumsharing a happy newsby the grace of god i got an offer from tayseertissco and i joinedhope you are fineinshah allahmeet you sometimerakheshvisitor from india
ham,not yet just id like to keep in touch and it will be the easiest way to do that from barcelona by the way how ru and how is the house
ham,gibbs unsoldmike hussey
ham,now am free call me pa
ham,true deari sat to pray evening and felt soso i smsd you in some time
ham,just woke up yeesh its late but i didnt fall asleep til ltgt am 
ham,ok lor but not too early me still having project meeting now
ham,you tell what happen dont behave like this to me ok no need to say
spam,sorry u can not unsubscribe yet the mob offer package has a min term of 54 weeks pls resubmit request after expiry reply themob help 4 more info
ham,im in a meeting call me later at
ham,no wonder cos i dun rem seeing a silver car but i thk i saw a black one
spam,you are awarded a sipix digital camera call 09061221061 from landline delivery within 28days t cs box177 m221bp 2yr warranty 150ppm 16  p p399
spam,life has never been this much fun and great until you came in you made it truly special for me i wont forget you enjoy  one gbpsms
spam,private your 2004 account statement for 07742676969 shows 786 unredeemed bonus points to claim call 08719180248 identifier code 45239 expires
ham,are you going to write ccna exam this week
ham,ok let u noe when i leave my house
ham,send me the new number
spam,urgent we are trying to contact u todays draw shows that you have won a 2000 prize guaranteed call 09058094507 from land line claim 3030 valid 12hrs only
ham,or remind me in a few hrs
ham,ok thanx gd nite 2  too
ham,you only hate me you can call any but you didnt accept even a single call of mine or even you messaged
ham,geeee  i miss you already you know  your all i can think about fuck i cant wait till next year when we will be together  loving kiss
ham,aiyar dun disturb u liao thk u have lots 2 do aft ur cupboard come
ham,ey calm downon theacusations itxt u cos iwana know wotu r doin at thewend haventcn u in agesring me if ur up4 nething satlove j xxx
ham,babe you said 2 hours and its been almost 4  is your internet down 
ham,did u turn on the heater the heater was on and set to ltgt degrees
ham,in life when you face choices just toss a coin not becoz its settle the question but while the coin in the air u will know what your heart is hoping for gudni8
ham,ah you see you have to be in the lingo i will let you know wot on earth it is when has finished making it
spam,sunshine hols to claim ur med holiday send a stamped self address envelope to drinks on us uk po box 113 bray wicklow eire quiz starts saturday unsub stop
ham,nah im a perpetual dd
ham,wait  ltgt  min
ham,lol its ok i didnt remember til last nite
ham,good morning princess how are you
ham,should i buy him a blackberry bold 2 or torch should i buy him new or used let me know plus are you saying i should buy the  ltgt g wifi ipad and what are you saying about the about the  ltgt g
ham,how come i din c  yup i cut my hair
ham,gud mrng dear hav a nice day
spam,please call 08712402972 immediately as there is an urgent message waiting for you
ham,oh ok i didnt know what you meant yep i am baby jontin
ham,shes fine good to hear from you how are you my dear happy new year oh
ham,cramps stopped going back to sleep
ham,lmao you know me so well
ham,no messages on her phone im holding it now
ham,2mro i am not coming to gym machan goodnight
ham,excellent i spent  ltgt  years in the air force iraq and afghanistan i am stable and honest do you like traveling
ham,reverse is cheating that is not mathematics
spam,bloomberg message center 447797706009 why wait apply for your future httpcareers bloombergcom
ham,what part of dont initiate dont you understand
ham,you got called a tool
ham,so many people seems to be special at first sight but only very few will remain special to you till your last sight maintain them till life ends shjas
ham,wherres my boytoy  
ham,y bishan lei i tot  say lavender 
ham,what type of stuff do you sing
ham,did u got that persons story
ham,lol  have you made plans for new years
ham,its a big difference  ltgt  versus  ltgt  every  ltgt hrs
spam,private your 2003 account statement for 07973788240 shows 800 unredeemed s i m points call 08715203649 identifier code 40533 expires 311004
ham,ola would get back to you maybe not today but i ve told him you can be his direct link in the us in getting cars he bids for online you arrange shipping and you get a cut or u for a partnership where u invest money for shipping and he takes care of the restuwud b self reliant soon dnt worry
ham,yagoing for restaurant
ham,do you mind if i ask what happened you dont have to say if it is uncomfortable
ham,hi this is yijue can i meet u at 11 tmr
ham,yeah probably i still gotta check out with leo
ham,yup
ham,thats ok i popped in to ask bout something and she said youd been in are you around tonght wen this girl comes
spam,complimentary 4 star ibiza holiday or 10000 cash needs your urgent collection 09066364349 now from landline not to lose out box434sk38wp150ppm18
ham,well obviously not because all the people in my cool college life went home 
ham,sorry ill call later
ham, got wat to buy tell us then  no need to come in again
ham,guess which pub im in im as happy as a pig in clover or whatever the saying is 
ham,ok cool see ya then
ham,good afternoon my love  any job prospects  are you missing me  what do you do  are you being lazy and bleak hmmm  or happy and filled with my love 
ham,i cant pick the phone right now pls send a message
ham,frnd s not juz a wordnot merely a relationshipits a silent promise which says   i will be with you  wherevr whenevr forevr gudnyt dear
spam,todays vodafone numbers ending with 0089my last four digits are selected to received a 350 award if your number matches please call 09063442151 to claim your 350 award
ham,two teams waiting for some players
ham,ok da i already planned i wil pick you
ham,o we cant see if we can join denis and mina or does denis want alone time
ham,ok lor
ham,purity of friendship between two is not about smiling after reading the forwarded messageits about smiling just by seeing the name gud evng musthu
ham,my sister cleared two round in birla soft yesterday
ham,the world is running and i am stillmaybe all are feeling the sameso be itor i have to admiti am madthen where is the correctionor let me call this is lifeand keep running with the worldmay be u r also runninglets run
ham,when i have stuff to sell ill tell you
ham,i uploaded mine to facebook
ham,no but well do medical missions to nigeria
ham,probably not still going over some stuff here
ham,having lunchyou are not in onlinewhy
ham,in which place do you want da
ham,im putting it on now it should be ready for  lttimegt 
ham,yesfrom last week itself im taking live call
spam,do you want a new nokia 3510i colour phone delivered tomorrow with 200 free minutes to any mobile  100 free text  free camcorder reply or call 8000930705
ham,we can make a baby in yo tho
ham,love you aathilove u lot
ham,thats fine have him give me a call if he knows what he wants or has any questions
ham,ill give her once i have it plus she said grinule greet you whenever we speak
spam,all the lastest from stereophonics marley dizzee racal libertines and the strokes win nookii games with flirt click themob wap bookmark or text wap to 82468
ham,i av a new number   wil u only use this oneta
ham,weightloss no more girl friends make loads of money on ebay or something and give thanks to god
ham,5 nightswe nt staying at port step liaotoo ex
ham,i get out of class in bsn in like  ltgt  minutes you know where advising is
ham,yo dude guess who just got arrested the other day
spam,u 447801259231 have a secret admirer who is looking 2 make contact with ufind out who they rreveal who thinks ur so specialcall on 09058094597
ham,im at work please call
ham,what will we do in the shower baby
ham,really i crashed out cuddled on my sofa
ham,howz that persons story
ham,but i juz remembered i gotta bathe my dog today
ham,what to think no one saying clearly ok leave no need to ask her i will go if she come or not
ham,jus finish watching tv u
ham,good stuff will do
ham,hi princess thank you for the pics you are very pretty how are you
ham,i keep ten rs in my shelf buy two egg
ham,whats up do you want me to come online
ham,fighting with the world is easy u either win or lose bt fightng with some1 who is close to u is dificult if u lose  u lose if u win  u still lose
ham,it means u could not keep ur words
ham,whatsup there dont u want to sleep
ham,haha awesome omw back now then
ham,all e best 4 ur exam later
spam,smsservices for yourinclusive text credits pls goto wwwcomuknet login 3qxj9 unsubscribe with stop no extra charge help 08702840625comuk 220cm2 9ae
ham, will be september by then
ham,hmmmkbut i want to change the field quickly dai wanna get system administrator or network administrator
ham,cheers u tex mecause u werebored yeah okden hunny r uin wk satsounds likeyour havin gr8fun j keep updat countinlots of loveme xxxxx
ham,babes i think i got ur brolly i left it in english wil bring it in 2mrw 4 u luv franxx
spam,want explicit sex in 30 secs ring 02073162414 now costs 20pmin
spam,urgent urgent we have 800 free flights to europe to give away call b4 10th sept  take a friend 4 free call now to claim on 09050000555 ba128nnfwfly150ppm
ham,ok c  then
ham,no dear i do have free messages without any recharge hi hi hi
ham,mom wants to know where you at
spam,freemsg hey  im buffy 25 and love to satisfy men home alone feeling randy reply 2 c my pix qlynnbv help08700621170150p a msg send stop to stop txts
spam,hi 07734396839 ibh customer loyalty offer the new nokia6600 mobile from only 10 at txtauctiontxt wordstart to no81151  get yours now4t
ham,where are youwhen wil you reach here
ham,i will reach office around  ltdecimalgt  amp my mobile have problem you cannt get my voice so call you asa ill free
ham,ok im waliking ard now do u wan me 2 buy anything go ur house
ham,awesome i remember the last time we got somebody high for the first time with diesel v
ham,this is ur face test  1 2 3 4 5 6 7 8 9  ltgt   select any number i will tell ur face astrology am waiting quick reply
ham,i want to go to perumbavoor
ham,then we gotta do it after that
spam,wow the boys r back take that 2007 uk tour win vip tickets  prebook with vip club txt club to 81303 trackmarque ltd infovipclub4u
spam,bored housewives chat n date now 08717507711 btnational rate 10pmin only from landlines
ham,nope watching tv at home not going out v bored
ham,can u look 4 me in da lib i got stuff havent finish yet
ham,if u dun drive then how i go 2 sch
ham,i was slept that timeyou there
spam,freemsg 1month unlimited free calls activate smartcall txt call to no 68866 subscriptn3gbpwk unlimited calls help 08448714184 stoptxt stop landlineonly
ham,lol yeah at this point i guess not
ham,thats the trouble with classes that go well  youre due a dodgey one  expecting mine tomo see you for recovery same time same place 
ham,sorry ill call later
spam,guess who am ithis is the first time i created a web page wwwasjesuscom read all i wrote im waiting for your opinions i want to be your friend 11
ham,we still on for tonight
ham,cheers lou yeah was a goodnite shame u neva came c ya gailxx
